station number,dates,site_name,water table depth
374425075400001,08/31,65K 27 SOW 114A,50.73
374425075400002,08/31,65K 28 SOW 114B,80.87
374425075400003,08/31,65K 29 SOW 114C,102.73
375635075271501,08/31,67M 10 SOW 115A,9.37
375635075271502,08/31,67M 11 SOW 115B,13.62
375635075271503,08/31,67M 12 SOW 115C,42.50
375635075271504,08/31,67M 13 SOW 115D,44.03
375635075271505,08/31,67M 62 SOW 115F,25.15
375723075344404,08/31,66M 19 SOW 110S,9.82
372053078493801,08/31,40G  3 SOW 229,1.35
382523078535501,08/31,38P  1 SOW 070,21.72
380252079472801,08/31,32N  2 SOW 217,8.58
372150079422301,08/31,33G  2 SOW 225,36.54
372224079423601,08/31,33G  1 SOW 224,11.03
372543079295402,08/31,35H 3 SOW 226A,15.16
372543079295403,08/31,35H 4 SOW 226B,9.56
364218078015701,08/31,46B  3 SOW 220,20.74
371841081584201,08/31,15G 19 SOW 222,21.31
372608078404601,08/31,41H  3,25.66
390348078035501,08/31,46W175,44.10
390743077504501,08/31,48X 20,34.65
390948078001601,08/31,46X125,32.41
372223080234801,08/31,27G  1 SOW 232,43.97
373146078161201,08/31,44J  1 SOW 227,33.06
385638077220101,08/31,52V  2D,16.20
384957077481701,08/31,48U 26 SOW 215,24.66
372621076404201,08/31,57H 20 SOW 192A,104.86
372621076404202,08/31,57H 21 SOW 192B,97.74
372621076404203,08/31,57H 22 SOW 192C,95.81
372621076404301,08/31,57H 32 SOW 192D,41.98
373737077083201,08/31,53K 19 SOW 080,16.82
373924077223001,08/31,52K 23 SOW 236A,176.51
373924077223002,08/31,52K 24 SOW 236B,176.23
373924077223003,08/31,52K 25 SOW 236C,11.55
363949076542602,08/31,55B 91 SOW 252A,107.22
363949076542603,08/31,55B 92 SOW 252B,148.99
363949076542604,08/31,55B 93 SOW 252C,141.29
363949076542605,08/31,55B 94 SOW 252D,29.46
363949076542606,08/31,55B 95 SOW 252E,29.40
363949076542607,08/31,55B 96 SOW 252F,29.40
363949076542608,08/31,55B 97 SOW 252G,22.00
363949076542609,08/31,55B 98 SOW 252H,4.05
364059076544901,08/31,55B 16,143.89
365841076364403,08/31,58D 37 SOW 243A,125.26
365841076364404,08/31,58D 38 SOW 243B,125.25
365841076364405,08/31,58D 39 SOW 243C,125.48
365841076364406,08/31,58D 40 SOW 243D,124.84
365841076364407,08/31,58D 41 SOW 243E,79.47
365841076364408,08/31,58D 42 SOW 243F,24.57
365841076364409,08/31,58D 43 SOW 243G,24.16
372145076493201,08/31,56G 57,188.44
372546076532901,08/31,55H 20,122.02
373008076425601,08/31,57J  3 SOW 074,162.94
373126076454101,08/31,56J 11 SOW 073,130.90
373235076482201,08/31,56J 48 SOW 247G,11.92
