Jurisdiction,station number,dates,site_name,water table depth
Accomack County,374425075400001,09/13 10:00 EDT,65K 27 SOW 114A,50.83
Accomack County,374425075400002,09/13 10:00 EDT,65K 28 SOW 114B,81.65
Accomack County,374425075400003,09/13 10:00 EDT,65K 29 SOW 114C,104.84
Accomack County,375635075271501,09/13 10:15 EDT,67M 10 SOW 115A,9.88
Accomack County,375635075271502,09/13 10:15 EDT,67M 11 SOW 115B,13.50
Accomack County,375635075271503,09/13 10:15 EDT,67M 12 SOW 115C,30.56
Accomack County,375635075271504,09/13 10:15 EDT,67M 13 SOW 115D,32.55
Accomack County,375635075271505,09/13 10:15 EDT,67M 62 SOW 115F,24.40
Accomack County,375723075344404,09/13 10:15 EDT,66M 19 SOW 110S,10.04
Appomattox County,372053078493801,09/13 10:00 EDT,40G  3 SOW 229,1.66
Augusta County,382523078535501,09/13 10:35 EDT,38P  1 SOW 070,21.99
Bath County,380252079472801,09/13 10:00 EDT,32N  2 SOW 217,8.97
Bedford County,372150079422301,09/13 10:00 EDT,33G  2 SOW 225,36.77
Bedford County,372224079423601,09/13 10:00 EDT,33G  1 SOW 224,11.26
Bedford County,372543079295402,09/13 09:45 EDT,35H 3 SOW 226A,15.30
Bedford County,372543079295403,09/13 09:45 EDT,35H 4 SOW 226B,10.22
Brunswick County,364218078015701,09/13 10:00 EDT,46B  3 SOW 220,20.93
Buchanan County,371841081584201,09/13 10:00 EDT,15G 19 SOW 222,22.30
Buckingham County,372608078404601,09/13 10:15 EDT,41H  3,26.12
Clarke County,390348078035501,09/13 10:45 EDT,46W175,44.31
Clarke County,390743077504501,09/13 10:15 EDT,48X 20,35.44
Clarke County,390948078001601,09/13 10:00 EDT,46X125,32.87
Craig County,372223080234801,09/13 10:15 EDT,27G  1 SOW 232,44.10
Cumberland County,373146078161201,09/13 10:45 EDT,44J  1 SOW 227,33.27
Fairfax County,385638077220101,09/13 10:15 EDT,52V  2D,16.61
Fauquier County,384957077481701,09/13 10:15 EDT,48U 26 SOW 215,24.94
Gloucester County,372621076404201,09/13 10:45 EDT,57H 20 SOW 192A,105.07
Gloucester County,372621076404202,09/13 10:45 EDT,57H 21 SOW 192B,98.03
