Jurisdiction,station number,dates,site_name,water table depth
Accomack County,374425075400001,10/02 16:00 EDT,65K 27 SOW 114A,50.74
Accomack County,374425075400002,10/02 16:00 EDT,65K 28 SOW 114B,79.40
Accomack County,374425075400003,10/02 16:00 EDT,65K 29 SOW 114C,101.16
Accomack County,375315075332101,10/02 16:30 EDT,66M 57,76.16
Accomack County,375315075332102,10/02 16:30 EDT,66M 58,69.47
Accomack County,375333075335401,10/02 16:30 EDT,66M 74,74.72
Accomack County,375635075271501,10/02 16:15 EDT,67M 10 SOW 115A,9.30
Accomack County,375635075271502,10/02 16:15 EDT,67M 11 SOW 115B,12.69
Accomack County,375635075271503,10/02 16:15 EDT,67M 12 SOW 115C,29.80
Accomack County,375635075271504,10/02 16:15 EDT,67M 13 SOW 115D,32.34
Accomack County,375635075271505,10/02 16:15 EDT,67M 62 SOW 115F,23.41
Accomack County,375723075344404,10/02 16:15 EDT,66M 19 SOW 110S,10.13
Appomattox County,372053078493801,10/02 15:00 EDT,40G  3 SOW 229,-0.55
Augusta County,382523078535501,10/02 15:35 EDT,38P  1 SOW 070,15.60
Bath County,380252079472801,10/02 16:00 EDT,32N  2 SOW 217,5.86
Bedford County,372150079422301,10/02 16:00 EDT,33G  2 SOW 225,37.10
Bedford County,372224079423601,10/02 16:00 EDT,33G  1 SOW 224,10.15
Bedford County,372543079295402,10/02 15:45 EDT,35H 3 SOW 226A,14.43
Bedford County,372543079295403,10/02 15:45 EDT,35H 4 SOW 226B,6.09
Brunswick County,364218078015701,10/02 16:00 EDT,46B  3 SOW 220,20.85
Buchanan County,371841081584201,10/02 16:00 EDT,15G 19 SOW 222,22.59
Buckingham County,372608078404601,10/02 16:15 EDT,41H  3,25.92
Clarke County,390348078035501,10/02 15:45 EDT,46W175,43.56
Clarke County,390743077504501,10/02 16:15 EDT,48X 20,33.34
Clarke County,390948078001601,10/02 16:00 EDT,46X125,34.53
Craig County,372223080234801,10/02 15:15 EDT,27G  1 SOW 232,38.45
Cumberland County,373146078161201,10/02 15:45 EDT,44J  1 SOW 227,32.70
Fairfax County,385638077220101,10/02 16:15 EDT,52V  2D,15.96
Fauquier County,384957077481701,10/02 16:15 EDT,48U 26 SOW 215,19.90
Gloucester County,372621076404201,10/02 15:45 EDT,57H 20 SOW 192A,104.63
Gloucester County,372621076404202,10/02 15:45 EDT,57H 21 SOW 192B,97.73
Gloucester County,372621076404203,10/02 15:45 EDT,57H 22 SOW 192C,95.78
Gloucester County,372621076404301,10/02 15:45 EDT,57H 32 SOW 192D,41.33
Halifax County,364157078392201,10/02 16:30 EDT,41B 1 SOW 262,23.66
Hanover County,373737077083201,10/02 16:15 EDT,53K 19 SOW 080,18.37
Hanover County,373924077223001,10/02 16:15 EDT,52K 23 SOW 236A,175.95
Hanover County,373924077223002,10/02 16:15 EDT,52K 24 SOW 236B,175.75
Hanover County,373924077223003,10/02 16:15 EDT,52K 25 SOW 236C,11.87
Isle of Wight County,363949076542602,10/02 15:45 EDT,55B 91 SOW 252A,107.32
Isle of Wight County,363949076542603,10/02 15:45 EDT,55B 92 SOW 252B,151.27
Isle of Wight County,363949076542604,10/02 15:45 EDT,55B 93 SOW 252C,141.26
Isle of Wight County,363949076542605,10/02 15:45 EDT,55B 94 SOW 252D,28.89
Isle of Wight County,363949076542606,10/02 15:45 EDT,55B 95 SOW 252E,28.84
Isle of Wight County,363949076542607,10/02 15:45 EDT,55B 96 SOW 252F,28.87
Isle of Wight County,363949076542608,10/02 15:45 EDT,55B 97 SOW 252G,21.96
Isle of Wight County,363949076542609,10/02 15:45 EDT,55B 98 SOW 252H,3.96
Isle of Wight County,364059076544901,10/02 16:00 EDT,55B 16,143.43
Isle of Wight County,365841076364403,10/02 16:00 EDT,58D 37 SOW 243A,124.70
Isle of Wight County,365841076364404,10/02 16:00 EDT,58D 38 SOW 243B,124.34
Isle of Wight County,365841076364405,10/02 16:00 EDT,58D 39 SOW 243C,124.49
Isle of Wight County,365841076364406,10/02 16:00 EDT,58D 40 SOW 243D,124.11
Isle of Wight County,365841076364407,10/02 16:00 EDT,58D 41 SOW 243E,79.42
Isle of Wight County,365841076364408,10/02 16:00 EDT,58D 42 SOW 243F,25.15
Isle of Wight County,365841076364409,10/02 16:00 EDT,58D 43 SOW 243G,24.73
James City County,372145076493201,10/02 16:15 EDT,56G 57,186.96
James City County,372546076532901,10/02 16:15 EDT,55H 20,121.53
King and Queen County,373008076425601,10/02 16:30 EDT,57J  3 SOW 074,161.18
King and Queen County,373126076454101,10/02 15:45 EDT,56J 11 SOW 073,129.16
King William County,373235076482201,10/02 15:45 EDT,56J 48 SOW 247G,11.66
King William County,373235076482302,10/02 15:45 EDT,56J 42 SOW 247A,184.79
King William County,373235076482303,10/02 15:45 EDT,56J 43 SOW 247B,188.40
King William County,373235076482304,10/02 15:45 EDT,56J 44 SOW 247C,198.05
King William County,373235076482305,10/02 15:45 EDT,56J 45 SOW 247D,158.75
